"expense_category","household_type","annual_cost","state_name"
"Housing","1 Adult 2 Children",11110,"Rhode Island"
"Transportation","1 Adult 2 Children",7901,"Rhode Island"
"Other","1 Adult 2 Children",3987,"Rhode Island"
"Required annual income after taxes","1 Adult 2 Children",51383,"Rhode Island"
"Annual taxes","1 Adult 2 Children",7846,"Rhode Island"
"Required annual income before taxes","1 Adult 2 Children",59229,"Rhode Island"
"Food","1 Adult 3 Children",10321,"Rhode Island"
"Child Care","1 Adult 3 Children",20148,"Rhode Island"
"Medical","1 Adult 3 Children",5936,"Rhode Island"
"Housing","1 Adult 3 Children",14010,"Rhode Island"
"Transportation","1 Adult 3 Children",9258,"Rhode Island"
"Other","1 Adult 3 Children",4819,"Rhode Island"
"Required annual income after taxes","1 Adult 3 Children",64491,"Rhode Island"
"Annual taxes","1 Adult 3 Children",9848,"Rhode Island"
"Required annual income before taxes","1 Adult 3 Children",74338,"Rhode Island"
"Food","2 Adults (One Working)",6434,"Rhode Island"
"Child Care","2 Adults (One Working)",0,"Rhode Island"
"Medical","2 Adults (One Working)",5003,"Rhode Island"
"Housing","2 Adults (One Working)",9064,"Rhode Island"
"Transportation","2 Adults (One Working)",6855,"Rhode Island"
"Other","2 Adults (One Working)",3644,"Rhode Island"
"Required annual income after taxes","2 Adults (One Working)",31000,"Rhode Island"
"Annual taxes","2 Adults (One Working)",4734,"Rhode Island"
"Required annual income before taxes","2 Adults (One Working)",35734,"Rhode Island"
"Food","2 Adults (One Working) 1 Child",8011,"Rhode Island"
"Child Care","2 Adults (One Working) 1 Child",0,"Rhode Island"
"Medical","2 Adults (One Working) 1 Child",5872,"Rhode Island"
"Housing","2 Adults (One Working) 1 Child",11110,"Rhode Island"
"Transportation","2 Adults (One Working) 1 Child",7901,"Rhode Island"
"Other","2 Adults (One Working) 1 Child",3987,"Rhode Island"
"Required annual income after taxes","2 Adults (One Working) 1 Child",36881,"Rhode Island"
"Annual taxes","2 Adults (One Working) 1 Child",5632,"Rhode Island"
"Required annual income before taxes","2 Adults (One Working) 1 Child",42512,"Rhode Island"
"Food","2 Adults (One Working) 2 Children",10339,"Rhode Island"
"Child Care","2 Adults (One Working) 2 Children",0,"Rhode Island"
"Medical","2 Adults (One Working) 2 Children",5936,"Rhode Island"
"Housing","2 Adults (One Working) 2 Children",11110,"Rhode Island"
"Transportation","2 Adults (One Working) 2 Children",9258,"Rhode Island"
"Other","2 Adults (One Working) 2 Children",4819,"Rhode Island"
"Required annual income after taxes","2 Adults (One Working) 2 Children",41462,"Rhode Island"
"Annual taxes","2 Adults (One Working) 2 Children",6331,"Rhode Island"
"Required annual income before taxes","2 Adults (One Working) 2 Children",47793,"Rhode Island"
"Food","2 Adults (One Working) 3 Children",12583,"Rhode Island"
"Child Care","2 Adults (One Working) 3 Children",0,"Rhode Island"
"Medical","2 Adults (One Working) 3 Children",5903,"Rhode Island"
"Housing","2 Adults (One Working) 3 Children",14010,"Rhode Island"
"Transportation","2 Adults (One Working) 3 Children",8845,"Rhode Island"
"Other","2 Adults (One Working) 3 Children",4502,"Rhode Island"
"Required annual income after taxes","2 Adults (One Working) 3 Children",45843,"Rhode Island"
"Annual taxes","2 Adults (One Working) 3 Children",7000,"Rhode Island"
"Required annual income before taxes","2 Adults (One Working) 3 Children",52843,"Rhode Island"
"Food","2 Adults",6434,"Rhode Island"
"Child Care","2 Adults",0,"Rhode Island"
"Medical","2 Adults",5003,"Rhode Island"
"Housing","2 Adults",9064,"Rhode Island"
"Transportation","2 Adults",6855,"Rhode Island"
"Other","2 Adults",3644,"Rhode Island"
"Required annual income after taxes","2 Adults",31000,"Rhode Island"
"Annual taxes","2 Adults",4734,"Rhode Island"
"Required annual income before taxes","2 Adults",35734,"Rhode Island"
"Food","2 Adults 1 Child",8011,"Rhode Island"
"Child Care","2 Adults 1 Child",9307,"Rhode Island"
"Medical","2 Adults 1 Child",5872,"Rhode Island"
"Housing","2 Adults 1 Child",11110,"Rhode Island"
"Transportation","2 Adults 1 Child",7901,"Rhode Island"
"Other","2 Adults 1 Child",3987,"Rhode Island"
"Required annual income after taxes","2 Adults 1 Child",46187,"Rhode Island"
"Annual taxes","2 Adults 1 Child",7053,"Rhode Island"
"Required annual income before taxes","2 Adults 1 Child",53240,"Rhode Island"
"Food","2 Adults 2 Children",10339,"Rhode Island"
"Child Care","2 Adults 2 Children",14727,"Rhode Island"
"Medical","2 Adults 2 Children",5936,"Rhode Island"
"Housing","2 Adults 2 Children",11110,"Rhode Island"
"Transportation","2 Adults 2 Children",9258,"Rhode Island"
"Other","2 Adults 2 Children",4819,"Rhode Island"
"Required annual income after taxes","2 Adults 2 Children",56189,"Rhode Island"
"Annual taxes","2 Adults 2 Children",8580,"Rhode Island"
"Required annual income before taxes","2 Adults 2 Children",64769,"Rhode Island"
"Food","2 Adults 3 Children",12583,"Rhode Island"
"Child Care","2 Adults 3 Children",20148,"Rhode Island"
"Medical","2 Adults 3 Children",5903,"Rhode Island"
"Housing","2 Adults 3 Children",14010,"Rhode Island"
"Transportation","2 Adults 3 Children",8845,"Rhode Island"
"Other","2 Adults 3 Children",4502,"Rhode Island"
"Required annual income after taxes","2 Adults 3 Children",65990,"Rhode Island"
"Annual taxes","2 Adults 3 Children",10077,"Rhode Island"
"Required annual income before taxes","2 Adults 3 Children",76067,"Rhode Island"
"Food","1 Adult",3022,"South Carolina"
"Child Care","1 Adult",0,"South Carolina"
"Medical","1 Adult",2146,"South Carolina"
"Housing","1 Adult",6769,"South Carolina"
"Transportation","1 Adult",4697,"South Carolina"
"Other","1 Adult",2253,"South Carolina"
"Required annual income after taxes","1 Adult",18887,"South Carolina"
"Annual taxes","1 Adult",2931,"South Carolina"
"Required annual income before taxes","1 Adult",21819,"South Carolina"
"Food","1 Adult 1 Child",4457,"South Carolina"
"Child Care","1 Adult 1 Child",4142,"South Carolina"
"Medical","1 Adult 1 Child",6326,"South Carolina"
"Housing","1 Adult 1 Child",9014,"South Carolina"
"Transportation","1 Adult 1 Child",8554,"South Carolina"
"Other","1 Adult 1 Child",3916,"South Carolina"
"Required annual income after taxes","1 Adult 1 Child",36408,"South Carolina"
"Annual taxes","1 Adult 1 Child",5651,"South Carolina"
"Required annual income before taxes","1 Adult 1 Child",42059,"South Carolina"
"Food","1 Adult 2 Children",6704,"South Carolina"
"Child Care","1 Adult 2 Children",5983,"South Carolina"
"Medical","1 Adult 2 Children",6114,"South Carolina"
"Housing","1 Adult 2 Children",9014,"South Carolina"
"Transportation","1 Adult 2 Children",9859,"South Carolina"
"Other","1 Adult 2 Children",4284,"South Carolina"
"Required annual income after taxes","1 Adult 2 Children",41959,"South Carolina"
"Annual taxes","1 Adult 2 Children",6512,"South Carolina"
"Required annual income before taxes","1 Adult 2 Children",48471,"South Carolina"
"Food","1 Adult 3 Children",8887,"South Carolina"
"Child Care","1 Adult 3 Children",7824,"South Carolina"
"Medical","1 Adult 3 Children",6178,"South Carolina"
"Housing","1 Adult 3 Children",11796,"South Carolina"
"Transportation","1 Adult 3 Children",11553,"South Carolina"
"Other","1 Adult 3 Children",5178,"South Carolina"
"Required annual income after taxes","1 Adult 3 Children",51416,"South Carolina"
"Annual taxes","1 Adult 3 Children",7980,"South Carolina"
"Required annual income before taxes","1 Adult 3 Children",59396,"South Carolina"
"Food","2 Adults (One Working)",5540,"South Carolina"
"Child Care","2 Adults (One Working)",0,"South Carolina"
"Medical","2 Adults (One Working)",4618,"South Carolina"
"Housing","2 Adults (One Working)",7445,"South Carolina"
"Transportation","2 Adults (One Working)",8554,"South Carolina"
"Other","2 Adults (One Working)",3916,"South Carolina"
"Required annual income after taxes","2 Adults (One Working)",30073,"South Carolina"
"Annual taxes","2 Adults (One Working)",4667,"South Carolina"
"Required annual income before taxes","2 Adults (One Working)",34741,"South Carolina"
"Food","2 Adults (One Working) 1 Child",6898,"South Carolina"
"Child Care","2 Adults (One Working) 1 Child",0,"South Carolina"
"Medical","2 Adults (One Working) 1 Child",6114,"South Carolina"
"Housing","2 Adults (One Working) 1 Child",9014,"South Carolina"
"Transportation","2 Adults (One Working) 1 Child",9859,"South Carolina"
"Other","2 Adults (One Working) 1 Child",4284,"South Carolina"
"Required annual income after taxes","2 Adults (One Working) 1 Child",36170,"South Carolina"
"Annual taxes","2 Adults (One Working) 1 Child",5614,"South Carolina"
"Required annual income before taxes","2 Adults (One Working) 1 Child",41783,"South Carolina"
"Food","2 Adults (One Working) 2 Children",8903,"South Carolina"
"Child Care","2 Adults (One Working) 2 Children",0,"South Carolina"
"Medical","2 Adults (One Working) 2 Children",6178,"South Carolina"
"Housing","2 Adults (One Working) 2 Children",9014,"South Carolina"
"Transportation","2 Adults (One Working) 2 Children",11553,"South Carolina"
"Other","2 Adults (One Working) 2 Children",5178,"South Carolina"
"Required annual income after taxes","2 Adults (One Working) 2 Children",40826,"South Carolina"
"Annual taxes","2 Adults (One Working) 2 Children",6336,"South Carolina"
"Required annual income before taxes","2 Adults (One Working) 2 Children",47162,"South Carolina"
"Food","2 Adults (One Working) 3 Children",10835,"South Carolina"
"Child Care","2 Adults (One Working) 3 Children",0,"South Carolina"
"Medical","2 Adults (One Working) 3 Children",6145,"South Carolina"
"Housing","2 Adults (One Working) 3 Children",11796,"South Carolina"
"Transportation","2 Adults (One Working) 3 Children",11037,"South Carolina"
"Other","2 Adults (One Working) 3 Children",4838,"South Carolina"
"Required annual income after taxes","2 Adults (One Working) 3 Children",44652,"South Carolina"
"Annual taxes","2 Adults (One Working) 3 Children",6930,"South Carolina"
"Required annual income before taxes","2 Adults (One Working) 3 Children",51581,"South Carolina"
"Food","2 Adults",5540,"South Carolina"
"Child Care","2 Adults",0,"South Carolina"
"Medical","2 Adults",4618,"South Carolina"
"Housing","2 Adults",7445,"South Carolina"
"Transportation","2 Adults",8554,"South Carolina"
"Other","2 Adults",3916,"South Carolina"
"Required annual income after taxes","2 Adults",30073,"South Carolina"
"Annual taxes","2 Adults",4667,"South Carolina"
"Required annual income before taxes","2 Adults",34741,"South Carolina"
"Food","2 Adults 1 Child",6898,"South Carolina"
"Child Care","2 Adults 1 Child",4142,"South Carolina"
"Medical","2 Adults 1 Child",6114,"South Carolina"
"Housing","2 Adults 1 Child",9014,"South Carolina"
"Transportation","2 Adults 1 Child",9859,"South Carolina"
"Other","2 Adults 1 Child",4284,"South Carolina"
"Required annual income after taxes","2 Adults 1 Child",40312,"South Carolina"
"Annual taxes","2 Adults 1 Child",6256,"South Carolina"
"Required annual income before taxes","2 Adults 1 Child",46568,"South Carolina"
"Food","2 Adults 2 Children",8903,"South Carolina"
"Child Care","2 Adults 2 Children",5983,"South Carolina"
"Medical","2 Adults 2 Children",6178,"South Carolina"
"Housing","2 Adults 2 Children",9014,"South Carolina"
"Transportation","2 Adults 2 Children",11553,"South Carolina"
"Other","2 Adults 2 Children",5178,"South Carolina"
"Required annual income after taxes","2 Adults 2 Children",46809,"South Carolina"
"Annual taxes","2 Adults 2 Children",7265,"South Carolina"
"Required annual income before taxes","2 Adults 2 Children",54074,"South Carolina"
"Food","2 Adults 3 Children",10835,"South Carolina"
"Child Care","2 Adults 3 Children",7824,"South Carolina"
"Medical","2 Adults 3 Children",6145,"South Carolina"
"Housing","2 Adults 3 Children",11796,"South Carolina"
"Transportation","2 Adults 3 Children",11037,"South Carolina"
"Other","2 Adults 3 Children",4838,"South Carolina"
"Required annual income after taxes","2 Adults 3 Children",52475,"South Carolina"
"Annual taxes","2 Adults 3 Children",8144,"South Carolina"
"Required annual income before taxes","2 Adults 3 Children",60620,"South Carolina"
"Food","1 Adult",3087,"South Dakota"
"Child Care","1 Adult",0,"South Dakota"
"Medical","1 Adult",2361,"South Dakota"
"Housing","1 Adult",5546,"South Dakota"
"Transportation","1 Adult",4569,"South Dakota"
"Other","1 Adult",2127,"South Dakota"
"Required annual income after taxes","1 Adult",17690,"South Dakota"
"Annual taxes","1 Adult",2038,"South Dakota"
"Required annual income before taxes","1 Adult",19728,"South Dakota"
"Food","1 Adult 1 Child",4553,"South Dakota"
"Child Care","1 Adult 1 Child",5369,"South Dakota"
"Medical","1 Adult 1 Child",6758,"South Dakota"
"Housing","1 Adult 1 Child",8120,"South Dakota"
"Transportation","1 Adult 1 Child",8320,"South Dakota"
"Other","1 Adult 1 Child",3699,"South Dakota"
"Required annual income after taxes","1 Adult 1 Child",36819,"South Dakota"
"Annual taxes","1 Adult 1 Child",4242,"South Dakota"
"Required annual income before taxes","1 Adult 1 Child",41061,"South Dakota"
"Food","1 Adult 2 Children",6849,"South Dakota"
"Child Care","1 Adult 2 Children",8949,"South Dakota"
"Medical","1 Adult 2 Children",6547,"South Dakota"
"Housing","1 Adult 2 Children",8120,"South Dakota"
"Transportation","1 Adult 2 Children",9589,"South Dakota"
"Other","1 Adult 2 Children",4046,"South Dakota"
"Required annual income after taxes","1 Adult 2 Children",44100,"South Dakota"
"Annual taxes","1 Adult 2 Children",5080,"South Dakota"
"Required annual income before taxes","1 Adult 2 Children",49181,"South Dakota"
"Food","1 Adult 3 Children",9078,"South Dakota"
"Child Care","1 Adult 3 Children",12528,"South Dakota"
"Medical","1 Adult 3 Children",6611,"South Dakota"
"Housing","1 Adult 3 Children",11256,"South Dakota"
"Transportation","1 Adult 3 Children",11236,"South Dakota"
"Other","1 Adult 3 Children",4891,"South Dakota"
"Required annual income after taxes","1 Adult 3 Children",55600,"South Dakota"
"Annual taxes","1 Adult 3 Children",6405,"South Dakota"
"Required annual income before taxes","1 Adult 3 Children",62005,"South Dakota"
"Food","2 Adults (One Working)",5659,"South Dakota"
"Child Care","2 Adults (One Working)",0,"South Dakota"
"Medical","2 Adults (One Working)",5608,"South Dakota"
"Housing","2 Adults (One Working)",6306,"South Dakota"
"Transportation","2 Adults (One Working)",8320,"South Dakota"
"Other","2 Adults (One Working)",3699,"South Dakota"
"Required annual income after taxes","2 Adults (One Working)",29592,"South Dakota"
"Annual taxes","2 Adults (One Working)",3409,"South Dakota"
"Required annual income before taxes","2 Adults (One Working)",33001,"South Dakota"
"Food","2 Adults (One Working) 1 Child",7047,"South Dakota"
"Child Care","2 Adults (One Working) 1 Child",0,"South Dakota"
"Medical","2 Adults (One Working) 1 Child",6547,"South Dakota"
"Housing","2 Adults (One Working) 1 Child",8120,"South Dakota"
"Transportation","2 Adults (One Working) 1 Child",9589,"South Dakota"
"Other","2 Adults (One Working) 1 Child",4046,"South Dakota"
"Required annual income after taxes","2 Adults (One Working) 1 Child",35350,"South Dakota"
"Annual taxes","2 Adults (One Working) 1 Child",4072,"South Dakota"
"Required annual income before taxes","2 Adults (One Working) 1 Child",39422,"South Dakota"
"Food","2 Adults (One Working) 2 Children",9095,"South Dakota"
"Child Care","2 Adults (One Working) 2 Children",0,"South Dakota"
"Medical","2 Adults (One Working) 2 Children",6611,"South Dakota"
"Housing","2 Adults (One Working) 2 Children",8120,"South Dakota"
"Transportation","2 Adults (One Working) 2 Children",11236,"South Dakota"
"Other","2 Adults (One Working) 2 Children",4891,"South Dakota"
"Required annual income after taxes","2 Adults (One Working) 2 Children",39953,"South Dakota"
"Annual taxes","2 Adults (One Working) 2 Children",4603,"South Dakota"
"Required annual income before taxes","2 Adults (One Working) 2 Children",44556,"South Dakota"
"Food","2 Adults (One Working) 3 Children",11068,"South Dakota"
"Child Care","2 Adults (One Working) 3 Children",0,"South Dakota"
"Medical","2 Adults (One Working) 3 Children",6578,"South Dakota"
"Housing","2 Adults (One Working) 3 Children",11256,"South Dakota"
"Transportation","2 Adults (One Working) 3 Children",10735,"South Dakota"
"Other","2 Adults (One Working) 3 Children",4569,"South Dakota"
"Required annual income after taxes","2 Adults (One Working) 3 Children",44206,"South Dakota"
"Annual taxes","2 Adults (One Working) 3 Children",5093,"South Dakota"
"Required annual income before taxes","2 Adults (One Working) 3 Children",49299,"South Dakota"
"Food","2 Adults",5659,"South Dakota"
"Child Care","2 Adults",0,"South Dakota"
"Medical","2 Adults",5608,"South Dakota"
"Housing","2 Adults",6306,"South Dakota"
"Transportation","2 Adults",8320,"South Dakota"
"Other","2 Adults",3699,"South Dakota"
"Required annual income after taxes","2 Adults",29592,"South Dakota"
"Annual taxes","2 Adults",3409,"South Dakota"
"Required annual income before taxes","2 Adults",33001,"South Dakota"
"Food","2 Adults 1 Child",7047,"South Dakota"
"Child Care","2 Adults 1 Child",5369,"South Dakota"
"Medical","2 Adults 1 Child",6547,"South Dakota"
"Housing","2 Adults 1 Child",8120,"South Dakota"
"Transportation","2 Adults 1 Child",9589,"South Dakota"
"Other","2 Adults 1 Child",4046,"South Dakota"
"Required annual income after taxes","2 Adults 1 Child",40719,"South Dakota"
"Annual taxes","2 Adults 1 Child",4691,"South Dakota"
"Required annual income before taxes","2 Adults 1 Child",45410,"South Dakota"
"Food","2 Adults 2 Children",9095,"South Dakota"
"Child Care","2 Adults 2 Children",8949,"South Dakota"
"Medical","2 Adults 2 Children",6611,"South Dakota"
"Housing","2 Adults 2 Children",8120,"South Dakota"
"Transportation","2 Adults 2 Children",11236,"South Dakota"
"Other","2 Adults 2 Children",4891,"South Dakota"
"Required annual income after taxes","2 Adults 2 Children",48902,"South Dakota"
"Annual taxes","2 Adults 2 Children",5634,"South Dakota"
"Required annual income before taxes","2 Adults 2 Children",54535,"South Dakota"
"Food","2 Adults 3 Children",11068,"South Dakota"
"Child Care","2 Adults 3 Children",12528,"South Dakota"
"Medical","2 Adults 3 Children",6578,"South Dakota"
"Housing","2 Adults 3 Children",11256,"South Dakota"
"Transportation","2 Adults 3 Children",10735,"South Dakota"
"Other","2 Adults 3 Children",4569,"South Dakota"
"Required annual income after taxes","2 Adults 3 Children",56734,"South Dakota"
"Annual taxes","2 Adults 3 Children",6536,"South Dakota"
"Required annual income before taxes","2 Adults 3 Children",63270,"South Dakota"
"Food","1 Adult",3022,"Tennessee"
"Child Care","1 Adult",0,"Tennessee"
"Medical","1 Adult",2177,"Tennessee"
"Housing","1 Adult",6018,"Tennessee"
"Transportation","1 Adult",4697,"Tennessee"
"Other","1 Adult",2253,"Tennessee"
"Required annual income after taxes","1 Adult",18167,"Tennessee"
"Annual taxes","1 Adult",3183,"Tennessee"
"Required annual income before taxes","1 Adult",21350,"Tennessee"
"Food","1 Adult 1 Child",4457,"Tennessee"
"Child Care","1 Adult 1 Child",4142,"Tennessee"
"Medical","1 Adult 1 Child",6202,"Tennessee"
"Housing","1 Adult 1 Child",8636,"Tennessee"
"Transportation","1 Adult 1 Child",8554,"Tennessee"
"Other","1 Adult 1 Child",3916,"Tennessee"
"Required annual income after taxes","1 Adult 1 Child",35907,"Tennessee"
"Annual taxes","1 Adult 1 Child",6291,"Tennessee"
"Required annual income before taxes","1 Adult 1 Child",42198,"Tennessee"
"Food","1 Adult 2 Children",6704,"Tennessee"
"Child Care","1 Adult 2 Children",6648,"Tennessee"
"Medical","1 Adult 2 Children",5990,"Tennessee"
"Housing","1 Adult 2 Children",8636,"Tennessee"
"Transportation","1 Adult 2 Children",9859,"Tennessee"
"Other","1 Adult 2 Children",4284,"Tennessee"
"Required annual income after taxes","1 Adult 2 Children",42122,"Tennessee"
"Annual taxes","1 Adult 2 Children",7380,"Tennessee"
"Required annual income before taxes","1 Adult 2 Children",49502,"Tennessee"
"Food","1 Adult 3 Children",8887,"Tennessee"
"Child Care","1 Adult 3 Children",9153,"Tennessee"
"Medical","1 Adult 3 Children",6054,"Tennessee"
"Housing","1 Adult 3 Children",11564,"Tennessee"
"Transportation","1 Adult 3 Children",11553,"Tennessee"
"Other","1 Adult 3 Children",5178,"Tennessee"
"Required annual income after taxes","1 Adult 3 Children",52390,"Tennessee"
"Annual taxes","1 Adult 3 Children",9179,"Tennessee"
"Required annual income before taxes","1 Adult 3 Children",61569,"Tennessee"
"Food","2 Adults (One Working)",5540,"Tennessee"
"Child Care","2 Adults (One Working)",0,"Tennessee"
"Medical","2 Adults (One Working)",4775,"Tennessee"
"Housing","2 Adults (One Working)",7000,"Tennessee"
"Transportation","2 Adults (One Working)",8554,"Tennessee"
"Other","2 Adults (One Working)",3916,"Tennessee"
"Required annual income after taxes","2 Adults (One Working)",29786,"Tennessee"
"Annual taxes","2 Adults (One Working)",5218,"Tennessee"
"Required annual income before taxes","2 Adults (One Working)",35004,"Tennessee"
"Food","2 Adults (One Working) 1 Child",6898,"Tennessee"
"Child Care","2 Adults (One Working) 1 Child",0,"Tennessee"
"Medical","2 Adults (One Working) 1 Child",5990,"Tennessee"
"Housing","2 Adults (One Working) 1 Child",8636,"Tennessee"
"Transportation","2 Adults (One Working) 1 Child",9859,"Tennessee"
"Other","2 Adults (One Working) 1 Child",4284,"Tennessee"
"Required annual income after taxes","2 Adults (One Working) 1 Child",35668,"Tennessee"
"Annual taxes","2 Adults (One Working) 1 Child",6249,"Tennessee"
"Required annual income before taxes","2 Adults (One Working) 1 Child",41918,"Tennessee"
"Food","2 Adults (One Working) 2 Children",8903,"Tennessee"
"Child Care","2 Adults (One Working) 2 Children",0,"Tennessee"
"Medical","2 Adults (One Working) 2 Children",6054,"Tennessee"
"Housing","2 Adults (One Working) 2 Children",8636,"Tennessee"
"Transportation","2 Adults (One Working) 2 Children",11553,"Tennessee"
"Other","2 Adults (One Working) 2 Children",5178,"Tennessee"
"Required annual income after taxes","2 Adults (One Working) 2 Children",40325,"Tennessee"
"Annual taxes","2 Adults (One Working) 2 Children",7065,"Tennessee"
"Required annual income before taxes","2 Adults (One Working) 2 Children",47390,"Tennessee"
"Food","2 Adults (One Working) 3 Children",10835,"Tennessee"
"Child Care","2 Adults (One Working) 3 Children",0,"Tennessee"
"Medical","2 Adults (One Working) 3 Children",6021,"Tennessee"
"Housing","2 Adults (One Working) 3 Children",11564,"Tennessee"
"Transportation","2 Adults (One Working) 3 Children",11037,"Tennessee"
"Other","2 Adults (One Working) 3 Children",4838,"Tennessee"
"Required annual income after taxes","2 Adults (One Working) 3 Children",44296,"Tennessee"
"Annual taxes","2 Adults (One Working) 3 Children",7761,"Tennessee"
"Required annual income before taxes","2 Adults (One Working) 3 Children",52057,"Tennessee"
"Food","2 Adults",5540,"Tennessee"
"Child Care","2 Adults",0,"Tennessee"
"Medical","2 Adults",4775,"Tennessee"
"Housing","2 Adults",7000,"Tennessee"
"Transportation","2 Adults",8554,"Tennessee"
"Other","2 Adults",3916,"Tennessee"
"Required annual income after taxes","2 Adults",29786,"Tennessee"
"Annual taxes","2 Adults",5218,"Tennessee"
"Required annual income before taxes","2 Adults",35004,"Tennessee"
"Food","2 Adults 1 Child",6898,"Tennessee"
"Child Care","2 Adults 1 Child",4142,"Tennessee"
"Medical","2 Adults 1 Child",5990,"Tennessee"
"Housing","2 Adults 1 Child",8636,"Tennessee"
"Transportation","2 Adults 1 Child",9859,"Tennessee"
"Other","2 Adults 1 Child",4284,"Tennessee"
"Required annual income after taxes","2 Adults 1 Child",39810,"Tennessee"
"Annual taxes","2 Adults 1 Child",6975,"Tennessee"
"Required annual income before taxes","2 Adults 1 Child",46785,"Tennessee"
"Food","2 Adults 2 Children",8903,"Tennessee"
"Child Care","2 Adults 2 Children",6648,"Tennessee"
"Medical","2 Adults 2 Children",6054,"Tennessee"
"Housing","2 Adults 2 Children",8636,"Tennessee"
"Transportation","2 Adults 2 Children",11553,"Tennessee"
"Other","2 Adults 2 Children",5178,"Tennessee"
"Required annual income after taxes","2 Adults 2 Children",46973,"Tennessee"
"Annual taxes","2 Adults 2 Children",8230,"Tennessee"
"Required annual income before taxes","2 Adults 2 Children",55202,"Tennessee"
"Food","2 Adults 3 Children",10835,"Tennessee"
"Child Care","2 Adults 3 Children",9153,"Tennessee"
"Medical","2 Adults 3 Children",6021,"Tennessee"
"Housing","2 Adults 3 Children",11564,"Tennessee"
"Transportation","2 Adults 3 Children",11037,"Tennessee"
"Other","2 Adults 3 Children",4838,"Tennessee"
"Required annual income after taxes","2 Adults 3 Children",53450,"Tennessee"
"Annual taxes","2 Adults 3 Children",9364,"Tennessee"
"Required annual income before taxes","2 Adults 3 Children",62814,"Tennessee"
"Food","1 Adult",3022,"Texas"
"Child Care","1 Adult",0,"Texas"
"Medical","1 Adult",2144,"Texas"
"Housing","1 Adult",6907,"Texas"
"Transportation","1 Adult",4697,"Texas"
"Other","1 Adult",2253,"Texas"
"Required annual income after taxes","1 Adult",19023,"Texas"
"Annual taxes","1 Adult",2191,"Texas"
"Required annual income before taxes","1 Adult",21214,"Texas"
"Food","1 Adult 1 Child",4457,"Texas"
"Child Care","1 Adult 1 Child",5318,"Texas"
"Medical","1 Adult 1 Child",6745,"Texas"
"Housing","1 Adult 1 Child",10291,"Texas"
"Transportation","1 Adult 1 Child",8554,"Texas"
"Other","1 Adult 1 Child",3916,"Texas"
"Required annual income after taxes","1 Adult 1 Child",39282,"Texas"
"Annual taxes","1 Adult 1 Child",4525,"Texas"
"Required annual income before taxes","1 Adult 1 Child",43807,"Texas"
"Food","1 Adult 2 Children",6704,"Texas"
"Child Care","1 Adult 2 Children",7977,"Texas"
"Medical","1 Adult 2 Children",6534,"Texas"
"Housing","1 Adult 2 Children",10291,"Texas"
"Transportation","1 Adult 2 Children",9859,"Texas"
"Other","1 Adult 2 Children",4284,"Texas"
"Required annual income after taxes","1 Adult 2 Children",45650,"Texas"
"Annual taxes","1 Adult 2 Children",5259,"Texas"
"Required annual income before taxes","1 Adult 2 Children",50909,"Texas"
"Food","1 Adult 3 Children",8887,"Texas"
"Child Care","1 Adult 3 Children",10636,"Texas"
"Medical","1 Adult 3 Children",6597,"Texas"
"Housing","1 Adult 3 Children",13841,"Texas"
"Transportation","1 Adult 3 Children",11553,"Texas"
"Other","1 Adult 3 Children",5178,"Texas"
"Required annual income after taxes","1 Adult 3 Children",56693,"Texas"
"Annual taxes","1 Adult 3 Children",6531,"Texas"
"Required annual income before taxes","1 Adult 3 Children",63224,"Texas"
"Food","2 Adults (One Working)",5540,"Texas"
"Child Care","2 Adults (One Working)",0,"Texas"
"Medical","2 Adults (One Working)",4962,"Texas"
"Housing","2 Adults (One Working)",8149,"Texas"
"Transportation","2 Adults (One Working)",8554,"Texas"
"Other","2 Adults (One Working)",3916,"Texas"
"Required annual income after taxes","2 Adults (One Working)",31122,"Texas"
"Annual taxes","2 Adults (One Working)",3585,"Texas"
"Required annual income before taxes","2 Adults (One Working)",34707,"Texas"
"Food","2 Adults (One Working) 1 Child",6898,"Texas"
"Child Care","2 Adults (One Working) 1 Child",0,"Texas"
"Medical","2 Adults (One Working) 1 Child",6534,"Texas"
"Housing","2 Adults (One Working) 1 Child",10291,"Texas"
"Transportation","2 Adults (One Working) 1 Child",9859,"Texas"
"Other","2 Adults (One Working) 1 Child",4284,"Texas"
"Required annual income after taxes","2 Adults (One Working) 1 Child",37867,"Texas"
"Annual taxes","2 Adults (One Working) 1 Child",4362,"Texas"
"Required annual income before taxes","2 Adults (One Working) 1 Child",42229,"Texas"
"Food","2 Adults (One Working) 2 Children",8903,"Texas"
"Child Care","2 Adults (One Working) 2 Children",0,"Texas"
"Medical","2 Adults (One Working) 2 Children",6597,"Texas"
"Housing","2 Adults (One Working) 2 Children",10291,"Texas"
"Transportation","2 Adults (One Working) 2 Children",11553,"Texas"
"Other","2 Adults (One Working) 2 Children",5178,"Texas"
"Required annual income after taxes","2 Adults (One Working) 2 Children",42523,"Texas"
"Annual taxes","2 Adults (One Working) 2 Children",4899,"Texas"
"Required annual income before taxes","2 Adults (One Working) 2 Children",47422,"Texas"
"Food","2 Adults (One Working) 3 Children",10835,"Texas"
"Child Care","2 Adults (One Working) 3 Children",0,"Texas"
"Medical","2 Adults (One Working) 3 Children",6564,"Texas"
"Housing","2 Adults (One Working) 3 Children",13841,"Texas"
"Transportation","2 Adults (One Working) 3 Children",11037,"Texas"
"Other","2 Adults (One Working) 3 Children",4838,"Texas"
